mine_id,production_date,planned_production,actual_production,operating_hours,downtime_hours,blasting_delay_hours,rainfall_mm,soil_moisture,land_temperature,humidity,equipment_operating_hours,equipment_downtime_hours,average_utilization,average_performance_score,planned_delay_hours,actual_delay_hours,blast_count,status
1,2026-02-14,500.0,421.96,19.3,2.49,3.11,9.28,35.79,29.83,66.98,19.46,17.68,84.834,79.452,0.58,0.9,2,On Time
1,2026-02-15,500.0,447.83,20.93,3.68,0.28,17.59,40.51,28.98,78.99,16.506,24.84,76.89200000000001,67.08200000000001,1.25,1.84,1,Delayed
1,2026-02-16,500.0,451.71,16.5,4.0,1.95,6.83,30.52,31.29,61.28,16.145999999999997,12.18,87.332,83.374,1.74,3.35,4,Highly Delayed
1,2026-02-17,500.0,453.33,16.71,1.03,2.27,6.2,31.75,30.16,62.72,18.086000000000002,20.89,81.06800000000001,73.78,0.83,2.6,4,Highly Delayed
1,2026-02-18,500.0,419.88,21.21,1.51,3.37,0.54,28.1,31.69,54.13,18.448,12.52,88.178,81.634,1.61,3.41,3,Highly Delayed
1,2026-02-19,500.0,447.12,19.14,3.33,2.44,13.48,38.32,29.21,69.7,18.52,13.4,87.37,80.982,1.81,2.36,3,Delayed
1,2026-02-20,500.0,465.97,19.72,1.75,0.66,5.93,33.28,30.5,62.23,17.794,17.97,83.47,77.858,0.85,2.49,1,Delayed
1,2026-02-21,500.0,443.06,20.88,3.58,0.57,3.4,33.74,30.72,54.63,18.352,18.73,83.832,76.524,0.61,0.94,3,On Time
1,2026-02-22,500.0,452.91,21.2,0.7,0.09,30.71,49.71,29.0,79.76,19.201999999999998,15.62,85.85,80.162,0.83,1.28,3,Delayed
1,2026-02-23,500.0,427.65,21.05,4.27,1.64,10.28,37.44,30.49,65.79,18.884,19.490000000000002,83.026,74.9,0.54,1.03,3,Delayed
1,2026-02-24,500.0,419.6,22.0,4.98,1.94,30.35,47.77,28.84,86.62,17.984,20.58,81.13399999999999,73.84,0.65,1.68,1,Delayed
1,2026-02-25,500.0,429.14,20.03,3.28,1.25,22.75,42.8,29.68,77.43,17.708,14.32,86.264,82.534,0.81,0.94,2,On Time
1,2026-02-26,500.0,462.1,21.11,2.98,1.96,31.15,45.94,26.38,83.53,15.462,15.09,84.212,78.514,1.92,2.43,2,Delayed
1,2026-02-27,500.0,458.66,17.28,1.11,0.05,1.26,27.11,33.19,50.53,17.084,17.97,83.086,76.732,1.42,1.72,4,Delayed
1,2026-02-28,500.0,434.11,18.09,2.81,2.74,10.03,33.69,30.08,61.35,17.984,19.73,82.51,73.55799999999999,0.07,1.29,2,Delayed
1,2026-03-01,500.0,436.61,17.55,2.57,3.43,18.28,39.21,28.46,73.49,16.886000000000003,15.73,84.536,78.114,0.82,0.89,4,On Time
1,2026-03-02,500.0,463.69,16.77,1.08,0.53,21.8,46.95,30.66,78.71,17.542,16.41,84.47200000000001,77.792,1.82,2.3,2,Delayed
1,2026-03-03,500.0,451.98,18.84,3.5,0.6,34.15,51.86,25.56,86.3,16.344,14.459999999999999,85.232,80.398,1.06,1.96,2,Delayed
1,2026-03-04,500.0,443.41,18.19,2.77,2.42,27.83,45.2,26.55,77.73,20.432,17.9,85.31800000000001,77.67999999999999,0.48,1.83,3,Delayed
1,2026-03-05,500.0,474.22,20.49,1.33,0.73,6.07,35.27,29.92,58.5,18.528,15.43,85.816,79.466,0.74,1.22,2,Delayed
1,2026-03-06,500.0,453.18,20.48,0.67,0.88,19.22,42.39,30.34,73.43,18.024,15.22,85.46799999999999,81.792,0.74,2.0,2,Delayed
1,2026-03-07,500.0,434.92,18.68,2.9,0.85,21.41,45.22,27.34,72.82,17.804,16.56,85.05,78.92,0.8,2.43,4,Delayed
1,2026-03-08,500.0,448.13,17.96,1.04,3.12,12.46,35.62,31.63,66.15,16.576,15.45,84.14200000000001,76.004,1.67,2.31,2,Delayed
1,2026-03-09,500.0,422.76,19.22,3.14,2.61,16.57,36.91,29.09,66.17,19.51,18.99,83.72,77.164,1.39,3.11,4,Highly Delayed
1,2026-03-10,500.0,422.75,19.42,2.1,3.45,13.95,40.15,30.93,67.17,16.669999999999998,19.020000000000003,81.524,72.19,1.36,1.39,3,Delayed
1,2026-03-11,500.0,448.17,16.96,1.34,1.0,21.91,41.31,29.97,74.75,18.088,19.95,82.678,74.40599999999999,1.62,2.32,3,Delayed
1,2026-03-12,500.0,443.05,21.19,4.18,0.9,23.05,42.58,28.76,77.69,16.634,20.04,80.676,72.53,0.35,1.73,4,Delayed
1,2026-03-13,500.0,460.92,17.68,3.96,0.65,20.14,41.34,30.57,69.41,18.302,16.05,85.24600000000001,80.074,1.04,2.71,3,Highly Delayed
1,2026-03-14,500.0,449.69,19.66,1.8,2.03,16.04,39.8,29.47,70.75,16.880000000000003,8.5,91.006,86.99,0.68,0.91,3,On Time
1,2026-03-15,500.0,454.69,16.81,0.79,3.46,31.69,48.38,28.11,81.65,19.247999999999998,16.880000000000003,85.086,77.80199999999999,1.08,2.47,3,Delayed
1,2026-03-16,500.0,454.88,19.57,2.62,1.44,2.49,31.39,30.29,55.38,16.924,19.93,81.158,72.264,1.32,2.95,1,Highly Delayed
1,2026-03-17,500.0,464.43,21.05,1.13,2.78,24.39,43.14,29.46,77.87,16.253999999999998,15.59,84.072,77.846,1.03,1.55,1,Delayed
1,2026-03-18,500.0,454.1,19.14,2.11,3.07,25.73,43.46,29.3,79.81,18.607999999999997,15.57,85.714,78.31,0.19,1.98,1,Delayed
1,2026-03-19,500.0,412.96,17.81,3.86,1.76,28.24,44.94,28.16,80.77,18.124000000000002,15.98,85.47200000000001,80.816,1.77,2.14,1,Delayed
1,2026-03-20,500.0,454.44,19.75,1.03,3.29,13.02,35.13,30.86,71.38,18.383999999999997,16.71,84.958,78.822,0.7,2.15,3,Delayed
1,2026-03-21,500.0,416.31,19.2,4.52,2.76,26.41,44.29,29.66,78.83,18.380000000000003,15.57,86.126,80.02000000000001,1.71,2.52,1,Highly Delayed
1,2026-03-22,500.0,453.46,21.26,2.04,2.87,11.2,34.8,30.73,64.27,18.544,17.71,84.106,76.826,1.28,1.45,4,Delayed
1,2026-03-23,500.0,435.58,20.33,3.74,2.24,33.25,48.39,27.77,86.71,17.906,18.61,82.966,77.386,1.57,2.91,2,Highly Delayed
1,2026-03-24,500.0,424.27,21.45,3.13,1.4,22.11,38.79,28.34,78.52,17.75,16.71,84.5,78.08200000000001,0.02,0.22,3,On Time
1,2026-03-25,500.0,418.2,21.23,4.69,1.98,26.33,42.72,28.99,80.58,20.59,16.119999999999997,86.71000000000001,80.338,1.95,2.52,2,Highly Delayed
1,2026-03-26,500.0,416.92,19.64,2.41,2.58,3.19,28.68,30.67,51.6,18.634,15.64,85.638,78.91600000000001,1.1,2.48,4,Delayed
1,2026-03-27,500.0,448.1,18.39,0.75,1.17,31.07,51.74,27.07,82.0,17.392000000000003,13.34,87.214,82.084,1.99,2.34,4,Delayed
1,2026-03-28,500.0,420.46,18.08,3.82,1.58,5.0,32.48,31.86,58.2,17.808,16.240000000000002,84.426,78.936,0.47,1.13,4,Delayed
1,2026-03-29,500.0,423.7,18.51,4.62,1.27,28.77,47.1,27.65,81.58,18.484,15.52,86.64,79.23400000000001,0.73,2.22,3,Delayed
1,2026-03-30,500.0,430.03,21.98,2.76,2.08,2.97,32.24,30.23,55.68,17.468,12.73,87.216,82.726,1.32,2.45,4,Delayed
1,2026-03-31,500.0,478.56,17.14,0.66,1.65,2.92,32.62,31.02,62.06,19.522,10.93,90.152,85.338,1.02,2.29,2,Delayed
1,2026-04-01,500.0,449.27,19.36,1.2,0.64,14.85,37.05,29.51,66.32,18.068,14.41,86.486,82.17999999999999,0.49,2.43,1,Delayed
1,2026-04-02,500.0,442.68,18.45,0.61,0.55,4.16,30.61,30.91,56.26,17.503999999999998,19.09,83.084,74.368,0.97,2.79,3,Highly Delayed
1,2026-04-03,500.0,455.3,20.03,0.59,0.36,26.11,45.96,28.48,74.16,16.546,16.68,84.08000000000001,76.99600000000001,1.59,2.59,4,Highly Delayed
1,2026-04-04,500.0,403.11,17.46,3.75,2.99,30.4,46.07,28.18,82.4,18.080000000000002,18.52,82.90799999999999,75.558,1.34,3.07,4,Highly Delayed
1,2026-04-05,500.0,449.65,21.38,0.56,0.3,2.58,30.63,30.8,64.15,19.076,13.48,87.862,80.17999999999999,1.44,2.01,3,Delayed
1,2026-04-06,500.0,445.67,18.28,3.16,0.94,24.35,44.64,30.72,74.61,17.034,11.73,87.758,85.614,1.54,1.62,4,Delayed
1,2026-04-07,500.0,426.14,21.69,3.94,0.49,20.45,41.07,29.93,69.05,18.55,11.64,88.77,84.008,1.88,3.79,1,Highly Delayed
1,2026-04-08,500.0,442.04,16.13,1.71,1.9,6.58,33.85,28.22,59.35,16.972,21.23,80.064,73.966,1.77,3.26,1,Highly Delayed
1,2026-04-09,500.0,442.77,17.63,0.58,3.2,20.43,37.45,29.32,75.1,19.524,16.72,85.668,81.78999999999999,1.86,2.71,1,Highly Delayed
1,2026-04-10,500.0,486.2,20.98,1.43,0.04,5.69,33.64,29.11,65.62,17.416,20.43,81.122,73.15799999999999,1.14,3.11,4,Highly Delayed
1,2026-04-11,500.0,463.76,21.49,2.38,1.34,32.65,49.07,27.45,85.27,17.482,17.98,83.17,75.916,0.59,1.36,3,Delayed
1,2026-04-12,500.0,454.9,18.34,1.8,1.24,13.33,34.47,29.55,70.71,19.666,12.39,89.256,83.684,0.54,1.51,2,Delayed
1,2026-04-13,500.0,423.38,21.62,3.8,0.75,14.52,37.22,29.49,68.84,17.564,14.01,86.21000000000001,80.89,1.11,2.99,2,Highly Delayed
1,2026-04-14,500.0,451.79,19.58,2.0,2.7,34.99,51.35,27.51,86.63,16.504,16.189999999999998,84.62,79.468,1.86,2.0,2,Delayed
1,2026-04-15,500.0,456.12,18.61,1.61,2.87,26.91,44.87,26.71,75.12,17.288,12.27,87.916,84.15,1.23,3.21,2,Highly Delayed
1,2026-04-16,500.0,425.47,16.55,4.63,0.48,23.51,44.35,27.11,79.99,15.854000000000003,19.49,80.568,71.74199999999999,0.51,1.1,2,Delayed
1,2026-04-17,500.0,401.31,20.39,4.13,2.31,3.97,31.07,32.65,58.92,16.714,17.18,83.24,76.44200000000001,1.48,2.88,3,Highly Delayed
1,2026-04-18,500.0,421.87,21.93,4.75,0.14,29.83,50.49,30.08,87.11,17.602,14.56,85.69200000000001,82.006,1.42,2.52,2,Highly Delayed
1,2026-04-19,500.0,407.89,21.83,4.75,1.66,30.68,45.9,27.66,87.08,18.080000000000002,19.53,82.2,73.2,1.62,3.24,1,Highly Delayed
1,2026-04-20,500.0,439.84,16.72,0.85,2.44,7.45,34.6,31.31,56.43,17.78,13.93,86.562,79.964,1.22,1.39,3,Delayed
1,2026-04-21,500.0,433.42,20.74,1.93,2.19,13.73,38.7,29.49,67.96,19.268,17.259999999999998,84.944,78.72,1.0,2.6,1,Highly Delayed
1,2026-04-22,500.0,403.44,20.79,4.99,1.23,27.43,41.49,29.89,75.54,15.668000000000001,10.55,88.148,84.346,0.14,0.94,2,On Time
1,2026-04-23,500.0,419.02,21.9,3.96,1.46,30.18,47.59,28.78,81.32,17.125999999999998,10.02,89.338,84.554,1.78,2.46,4,Delayed
1,2026-04-24,500.0,450.99,17.72,1.83,0.82,34.3,46.97,25.5,85.6,18.582,16.49,84.74199999999999,77.692,1.16,2.03,3,Delayed
1,2026-04-25,500.0,460.8,21.7,4.04,0.31,22.17,42.16,28.71,71.65,18.04,24.71,78.304,68.248,0.07,1.0,3,Delayed
1,2026-04-26,500.0,475.11,19.08,1.54,0.62,12.1,36.84,29.73,68.75,18.054,8.51,91.232,88.91600000000001,1.96,3.64,2,Highly Delayed
1,2026-04-27,500.0,418.65,21.81,4.48,3.25,23.36,42.29,28.19,73.58,18.758000000000003,11.17,89.848,86.36,0.06,0.14,2,On Time
1,2026-04-28,500.0,418.61,16.92,4.17,0.79,3.1,28.9,30.58,54.69,16.752000000000002,20.55,80.87,72.848,0.61,1.68,1,Delayed
1,2026-04-29,500.0,471.34,21.26,1.7,0.45,7.22,32.81,28.0,61.19,16.044,16.97,83.196,77.65599999999999,1.04,2.58,4,Highly Delayed
1,2026-04-30,500.0,434.47,18.45,2.18,0.91,27.98,46.27,27.5,80.82,18.408,17.72,83.932,79.768,1.93,2.85,2,Highly Delayed
1,2026-05-01,500.0,403.96,16.46,4.33,1.73,30.58,49.58,27.32,80.31,16.413999999999998,17.77,82.462,76.202,0.1,1.17,3,Delayed
1,2026-05-02,500.0,429.14,19.39,1.7,3.08,7.33,33.92,29.99,54.69,17.78,23.740000000000002,78.908,71.384,1.4,1.68,4,Delayed
1,2026-05-03,500.0,416.8,21.02,3.64,2.38,21.64,40.81,26.64,77.03,18.701999999999998,12.510000000000002,89.354,84.584,1.95,2.98,2,Highly Delayed
1,2026-05-04,500.0,432.21,20.46,1.22,2.86,31.33,46.39,30.95,86.56,17.542,17.42,83.68199999999999,79.096,0.08,0.88,3,On Time
1,2026-05-05,500.0,412.43,21.89,3.34,0.91,3.75,33.49,28.17,55.94,17.57,17.71,83.226,77.40799999999999,0.88,1.03,1,Delayed
1,2026-05-06,500.0,412.25,19.25,4.83,1.2,13.2,34.77,29.03,63.64,17.542,16.86,84.374,76.872,0.37,0.53,3,On Time
1,2026-05-07,500.0,445.86,20.25,0.8,2.04,4.19,31.16,31.49,61.94,18.631999999999998,15.52,85.534,78.064,1.39,2.21,2,Delayed
1,2026-05-08,500.0,466.21,16.15,0.6,1.13,17.45,40.65,29.33,68.12,17.042,18.18,82.884,75.128,1.83,2.72,4,Highly Delayed
1,2026-05-09,500.0,439.41,21.98,2.42,1.58,20.54,40.47,30.53,72.32,18.182,15.219999999999999,85.872,79.424,1.1,2.53,4,Highly Delayed
1,2026-05-10,500.0,451.59,17.64,4.78,0.53,12.71,34.92,30.66,72.17,20.042,21.18,82.5,73.94,1.87,3.15,1,Highly Delayed
1,2026-05-11,500.0,434.38,17.65,4.93,1.43,12.46,36.16,29.88,65.13,18.942,20.46,82.348,72.39,1.48,2.58,2,Highly Delayed
1,2026-05-12,500.0,403.47,18.21,4.39,1.66,5.35,31.0,29.81,58.35,17.554,21.659999999999997,80.09400000000001,72.03999999999999,1.46,1.56,2,Delayed
1,2026-05-13,500.0,408.34,21.07,3.92,2.19,6.53,30.59,29.8,53.37,16.982,14.07,85.286,79.10799999999999,0.71,2.23,1,Delayed
1,2026-05-14,500.0,446.19,16.75,3.59,1.51,34.38,51.72,27.32,83.22,16.944,16.240000000000002,84.22,76.958,0.68,0.87,3,On Time
1,2026-05-15,500.0,464.38,20.79,1.9,1.59,33.93,50.53,27.88,83.37,18.116,19.07,82.538,75.934,0.08,1.79,4,Delayed
1,2026-05-16,500.0,435.19,17.75,3.63,3.01,23.4,42.15,28.76,78.32,19.134,13.75,87.602,80.326,0.35,0.38,2,On Time
1,2026-05-17,500.0,438.64,21.92,1.14,1.75,20.01,42.87,28.24,71.31,17.919999999999998,16.26,85.098,79.846,0.98,1.93,1,Delayed
1,2026-05-18,500.0,465.64,18.1,0.65,0.28,14.89,35.67,27.88,68.55,16.666,11.620000000000001,87.768,84.162,0.93,2.23,2,Delayed
1,2026-05-19,500.0,472.85,17.2,1.25,0.37,4.02,27.56,31.4,55.2,17.232,10.0,89.416,85.03200000000001,1.23,2.5,2,Highly Delayed
1,2026-05-20,500.0,435.63,20.81,2.03,2.85,16.84,39.48,28.66,70.3,18.564,23.23,79.662,71.47999999999999,0.52,0.55,3,On Time
1,2026-05-21,500.0,458.0,19.86,2.87,2.56,11.78,34.45,30.58,68.92,19.318,9.31,91.146,87.376,1.01,2.72,1,Highly Delayed
1,2026-05-22,500.0,455.48,18.99,3.0,2.52,20.85,43.09,26.44,71.37,17.442,23.18,78.726,69.514,1.37,2.6,4,Highly Delayed
1,2026-05-23,500.0,462.55,16.18,1.66,1.62,12.21,36.28,29.87,67.45,17.322,18.88,82.452,74.15599999999999,1.28,1.34,4,Delayed
1,2026-05-24,500.0,405.75,18.23,4.94,0.14,29.46,50.31,28.39,80.28,18.580000000000002,16.009999999999998,85.086,77.06800000000001,1.27,2.87,4,Highly Delayed
1,2026-05-25,500.0,420.49,21.24,4.55,1.48,7.06,31.95,29.98,62.98,20.05,13.2,88.692,85.34400000000001,0.78,2.06,1,Delayed
1,2026-05-26,500.0,436.67,19.79,3.8,0.46,18.31,41.97,30.04,70.5,18.226,21.150000000000002,81.598,73.52799999999999,1.62,3.26,4,Highly Delayed
1,2026-05-27,500.0,430.08,21.22,2.5,1.8,13.74,36.43,30.93,65.33,17.694,16.77,85.072,78.7,0.77,2.69,2,Highly Delayed
1,2026-05-28,500.0,440.56,17.55,3.46,1.14,10.55,30.4,29.96,69.52,16.869999999999997,15.05,85.092,79.292,0.41,0.96,4,On Time
1,2026-05-29,500.0,438.19,20.97,2.44,0.87,8.13,32.8,31.01,64.99,17.94,18.1,83.13399999999999,76.072,0.2,0.24,3,On Time
1,2026-05-30,500.0,418.31,18.85,4.3,2.82,21.85,42.39,27.34,78.09,19.466,15.61,87.314,81.466,1.24,1.91,2,Delayed
1,2026-05-31,500.0,415.88,16.34,2.89,3.28,4.87,32.19,31.76,62.28,16.778,14.06,85.9,80.31800000000001,0.64,2.33,2,Delayed
1,2026-06-01,500.0,490.91,19.04,0.69,0.52,27.6,46.1,27.78,77.29,18.782,15.14,86.39,81.164,0.68,1.2,3,Delayed
1,2026-06-02,500.0,421.58,19.09,2.7,2.33,8.7,36.67,30.53,61.78,18.36,15.76,85.574,77.586,0.24,1.63,1,Delayed
1,2026-06-03,500.0,439.9,18.66,4.41,0.62,28.74,48.34,27.86,77.93,18.758000000000003,13.04,88.376,83.748,1.87,1.95,1,Delayed
1,2026-06-04,500.0,440.94,19.42,0.64,3.26,27.91,45.28,27.66,83.01,15.968,16.77,84.018,78.60799999999999,1.61,2.17,2,Delayed
1,2026-06-05,500.0,455.87,19.91,0.98,2.3,22.44,44.53,29.17,80.83,20.772,12.33,89.53,84.396,0.85,1.98,3,Delayed
1,2026-06-06,500.0,413.66,20.43,4.45,1.41,8.81,31.61,29.61,63.44,18.369999999999997,11.34,88.94,83.03999999999999,1.98,2.81,2,Highly Delayed
1,2026-06-07,500.0,446.18,18.61,4.18,0.42,14.03,38.79,30.25,67.46,17.308,16.47,84.062,77.84,0.5,1.66,3,Delayed
1,2026-06-08,500.0,463.41,18.69,1.57,1.31,5.37,31.85,33.11,59.22,15.742,17.96,81.966,73.378,1.86,3.58,1,Highly Delayed
1,2026-06-09,500.0,456.46,18.78,2.21,3.02,30.52,47.93,28.06,84.65,18.834,26.89,77.568,67.638,1.36,2.84,3,Highly Delayed
1,2026-06-10,500.0,419.89,18.39,3.11,1.87,24.38,44.28,29.0,77.7,18.952,16.66,84.75399999999999,77.454,0.21,2.01,2,Delayed
1,2026-06-11,500.0,443.73,21.56,0.77,3.27,21.24,39.52,30.47,72.58,17.69,15.5,85.09200000000001,79.636,0.99,1.77,1,Delayed
1,2026-06-12,500.0,421.12,17.84,4.11,1.89,32.7,49.08,28.51,92.05,18.092000000000002,18.58,83.33399999999999,73.97,1.79,2.57,4,Highly Delayed
1,2026-06-13,500.0,442.01,16.73,1.32,2.38,13.97,38.13,29.45,66.29,16.324,20.29,80.518,75.442,1.92,3.61,1,Highly Delayed
1,2026-06-14,500.0,423.01,17.54,4.83,1.69,28.1,47.97,25.87,79.6,18.084,11.81,88.44800000000001,82.90599999999999,0.64,2.54,4,Highly Delayed
1,2026-06-15,500.0,400.64,19.61,4.19,3.09,12.14,37.15,29.45,70.94,18.208000000000002,12.7,87.97999999999999,83.632,0.97,1.95,4,Delayed
1,2026-06-16,500.0,460.48,21.4,2.09,0.83,7.86,30.86,30.06,62.06,19.498,16.11,85.968,80.22,0.9,1.48,1,Delayed
1,2026-06-17,500.0,414.87,16.57,3.31,1.58,14.66,34.89,29.3,70.28,17.502,16.63,84.44,76.94000000000001,1.11,1.53,1,Delayed
1,2026-06-18,500.0,454.95,16.57,0.61,2.25,20.32,39.17,29.48,70.89,17.580000000000002,10.92,89.348,85.85600000000001,1.58,3.16,1,Highly Delayed
1,2026-06-19,500.0,407.75,18.98,4.95,0.48,34.89,50.35,30.08,86.58,17.198,12.93,87.018,80.666,1.86,3.81,2,Highly Delayed
1,2026-06-20,500.0,465.94,21.95,1.08,0.36,2.35,27.96,31.44,56.77,20.098,21.61,82.22999999999999,73.368,1.1,1.98,3,Delayed
