planned_production,operating_hours,downtime_hours,blasting_delay_hours,rainfall_mm,soil_moisture,land_temperature,humidity,equipment_operating_hours,equipment_downtime_hours,average_utilization,average_performance_score,planned_delay_hours,actual_delay_hours,blast_count,downtime_ratio,blasting_delay_ratio,equipment_downtime_ratio,equipment_performance_risk,rainfall_risk,actual_production
500.0,16.97,4.68,2.83,33.94,50.5,28.49,82.51,18.08,10.73,89.416,84.244,1.57,1.97,3,0.2757807896287566,0.1667648791985857,0.3724401249566123,15.756,2,409.89
500.0,21.38,1.93,0.39,9.5,31.01,29.59,66.72,18.806,15.93,85.452,78.94800000000001,1.97,2.9,1,0.0902712815715622,0.0182413470533208,0.4586020267157991,21.051999999999992,1,452.41
500.0,17.33,1.04,1.18,9.83,32.13,30.15,65.6,16.034,14.6,84.59400000000001,78.162,1.22,1.56,3,0.0600115406809001,0.0680900173110213,0.4765946334138539,21.837999999999997,1,473.34
500.0,21.83,4.83,0.88,25.52,46.36,27.61,77.04,18.496,20.13,81.93199999999999,73.192,0.03,1.91,2,0.2212551534585433,0.0403114979386165,0.5211515559467716,26.808000000000007,2,416.27
500.0,19.02,0.73,0.98,30.21,44.62,29.08,81.65,17.71,11.75,89.19800000000001,84.458,1.62,2.23,1,0.0383806519453207,0.0515247108307045,0.3988458927359131,15.542000000000002,2,460.54
500.0,17.45,3.52,2.67,11.38,34.58,30.67,69.31,16.124000000000002,11.12,88.166,85.99600000000001,0.46,0.94,4,0.2017191977077364,0.1530085959885387,0.4081632653061224,14.00399999999999,1,405.22
500.0,19.21,0.91,2.92,31.05,46.11,27.82,85.87,19.254,13.17,87.876,81.014,0.24,1.23,3,0.047371160853722,0.1520041644976574,0.406180606957809,18.986000000000004,2,468.71
500.0,17.36,3.4,0.61,19.64,42.36,29.0,77.37,17.904,19.74,81.956,72.43199999999999,0.35,1.13,2,0.195852534562212,0.0351382488479262,0.5243863563914568,27.56800000000001,2,444.69
500.0,16.68,4.66,3.07,18.3,39.09,29.11,67.21,18.712,18.27,83.51400000000001,76.24600000000001,1.33,1.95,2,0.2793764988009592,0.1840527577937649,0.4940241198420853,23.75399999999999,2,392.72
500.0,17.45,0.92,3.14,17.8,41.65,29.0,72.09,18.55,16.56,84.922,78.888,0.42,1.55,1,0.0527220630372492,0.1799426934097421,0.4716604955853033,21.111999999999995,2,475.17
500.0,21.38,4.49,2.73,14.36,35.76,30.31,67.29,17.814,11.79,88.608,82.702,1.94,3.49,2,0.2100093545369504,0.127689429373246,0.398256992298338,17.298000000000002,1,388.49
500.0,20.15,3.43,0.78,5.64,30.81,31.35,61.06,17.906,13.92,86.518,81.56,0.79,2.64,3,0.1702233250620347,0.0387096774193548,0.437378244202853,18.44,1,422.68
500.0,21.1,3.46,1.99,28.13,49.03,28.36,79.39,17.038,16.21,84.17,79.332,1.84,2.02,3,0.1639810426540284,0.0943127962085308,0.4875481231953801,20.668000000000006,2,429.73
500.0,19.79,4.08,1.76,3.85,31.85,30.22,54.08,16.194,12.2,86.992,83.28200000000001,1.04,2.96,1,0.2061647296614452,0.0889338049519959,0.4296682397689653,16.71799999999999,0,439.31
500.0,16.15,3.4,0.62,28.63,41.3,28.48,79.58,18.058,15.68,86.582,80.32000000000001,0.78,1.32,1,0.2105263157894737,0.0383900928792569,0.4647578398245302,19.679999999999996,2,444.58
500.0,18.31,4.33,1.11,11.82,35.1,29.66,66.85,18.394,16.87,84.352,76.742,1.17,3.1,4,0.2364827962861824,0.0606226105953031,0.4783915607985481,23.258,1,414.54
500.0,16.58,3.27,3.47,18.16,37.92,30.59,71.29,18.494,20.74,81.634,71.512,1.09,1.37,3,0.1972255729794934,0.2092882991556092,0.5286231329968905,28.488,2,446.59
500.0,20.21,2.12,1.03,10.53,31.5,30.01,71.87,18.508000000000003,17.92,83.75399999999999,78.976,0.33,0.36,1,0.1048985650667986,0.0509648688767936,0.4919292851652574,21.024,1,473.25
500.0,19.01,4.09,2.27,1.8,30.13,30.56,54.9,16.84,15.25,84.596,79.588,1.54,1.94,4,0.2151499210941609,0.1194108364018937,0.4752259270800872,20.41200000000001,0,413.86
500.0,16.56,3.1,0.13,17.13,38.29,30.43,72.67,17.594,14.01,86.476,82.654,0.03,0.43,4,0.1871980676328502,0.0078502415458937,0.4432983166687761,17.346000000000004,2,426.48
500.0,16.22,4.2,1.26,8.32,31.8,31.55,66.7,17.324,12.68,87.212,83.806,1.46,3.0,1,0.2589395807644883,0.0776818742293465,0.4226103186241834,16.194000000000003,1,428.98
500.0,16.51,0.73,1.86,18.75,42.97,28.13,70.18,16.916,10.06,90.008,83.124,1.85,3.15,4,0.0442156268927922,0.1126589945487583,0.3729240806642942,16.876000000000005,2,462.29
500.0,17.94,4.08,0.95,1.43,32.34,31.73,56.31,17.982,12.86,88.296,85.31800000000001,1.73,2.97,2,0.2274247491638795,0.0529542920847268,0.4169638804228001,14.681999999999988,0,432.46
500.0,17.5,2.97,2.5,7.93,32.42,29.14,63.56,17.752,17.04,83.65,77.398,0.19,0.93,2,0.1697142857142857,0.1428571428571428,0.4897677627040698,22.602000000000004,1,429.3
500.0,17.49,2.1,2.65,24.18,44.96,28.42,75.6,17.997999999999998,13.73,87.248,80.6,0.65,2.11,4,0.1200686106346483,0.1515151515151515,0.4327407967725669,19.40000000000001,2,444.78
500.0,18.84,1.28,1.52,3.97,28.81,31.42,54.88,18.014,17.950000000000003,83.022,75.886,0.55,1.67,3,0.0679405520169851,0.0806794055201698,0.4991102213324436,24.114000000000004,0,466.99
500.0,19.76,2.76,3.0,28.6,49.32,30.68,79.77,17.984,21.74,81.19800000000001,74.25399999999999,0.24,1.67,1,0.1396761133603238,0.1518218623481781,0.547276205820159,25.74600000000001,2,427.91
500.0,19.45,2.25,2.25,31.4,48.0,28.12,85.61,19.848000000000003,13.22,88.43199999999999,82.622,1.44,1.92,2,0.1156812339331619,0.1156812339331619,0.3997822668440788,17.378,2,432.86
500.0,21.43,1.38,0.24,11.87,38.31,28.95,67.53,16.018,18.01,82.034,76.00399999999999,0.99,2.03,3,0.0643957069528698,0.0111992533831077,0.5292700129305278,23.99600000000001,1,464.13
500.0,16.14,4.17,0.99,2.94,32.35,31.0,55.51,17.222,19.26,81.72,75.91600000000001,0.22,1.1,3,0.258364312267658,0.0613382899628252,0.5279315826983171,24.08399999999999,0,442.51
500.0,20.82,1.77,0.62,0.18,28.46,29.77,58.31,17.782,17.54,84.314,75.042,0.06,1.34,4,0.085014409221902,0.0297790585975024,0.4965743729120661,24.958,0,477.03
500.0,21.58,4.36,1.5,7.85,35.75,29.24,64.43,19.508000000000003,11.5,90.03,85.80199999999999,1.13,2.52,1,0.2020389249304912,0.0695088044485634,0.3708720330237358,14.198000000000008,1,422.13
500.0,20.96,1.94,3.13,11.39,36.94,31.13,66.52,18.972,19.84,82.696,75.218,0.5,1.32,3,0.0925572519083969,0.1493320610687022,0.5111821086261981,24.782,1,431.43
500.0,18.69,1.82,1.15,19.89,42.81,28.77,70.64,18.282,15.51,85.398,78.804,0.41,2.29,3,0.097378277153558,0.0615302300695559,0.4589843749999999,21.196,2,464.78
500.0,19.3,2.49,3.11,9.28,35.79,29.83,66.98,19.46,17.68,84.834,79.452,0.58,0.9,2,0.1290155440414508,0.1611398963730569,0.4760366182014001,20.548,1,421.96
500.0,20.93,3.68,0.28,17.59,40.51,28.98,78.99,16.506,24.84,76.89200000000001,67.08200000000001,1.25,1.84,1,0.1758241758241758,0.0133779264214046,0.6007836308228123,32.91799999999999,2,447.83
500.0,16.5,4.0,1.95,6.83,30.52,31.29,61.28,16.145999999999997,12.18,87.332,83.374,1.74,3.35,4,0.2424242424242424,0.1181818181818181,0.4299936454141072,16.626000000000005,1,451.71
500.0,16.71,1.03,2.27,6.2,31.75,30.16,62.72,18.086,20.89,81.06800000000001,73.78,0.83,2.6,4,0.0616397366846199,0.1358467983243566,0.535970853858785,26.22,1,453.33
500.0,21.21,1.51,3.37,0.54,28.1,31.69,54.13,18.448,12.52,88.178,81.634,1.61,3.41,3,0.0711928335690711,0.1588873173031589,0.40428829759752,18.366,0,419.88
500.0,19.14,3.33,2.44,13.48,38.32,29.21,69.7,18.52,13.4,87.37,80.982,1.81,2.36,3,0.1739811912225705,0.1274817136886102,0.4197994987468672,19.018,1,447.12
500.0,19.72,1.75,0.66,5.93,33.28,30.5,62.23,17.794,17.97,83.47,77.858,0.85,2.49,1,0.0887423935091278,0.0334685598377282,0.5024605748797674,22.142,1,465.97
500.0,20.88,3.58,0.57,3.4,33.74,30.72,54.63,18.352,18.73,83.832,76.524,0.61,0.94,3,0.171455938697318,0.0272988505747126,0.5050968124696619,23.476,0,443.06
500.0,21.2,0.7,0.09,30.71,49.71,29.0,79.76,19.202,15.62,85.85,80.162,0.83,1.28,3,0.0330188679245283,0.0042452830188679,0.4485669978749066,19.837999999999997,2,452.91
500.0,21.05,4.27,1.64,10.28,37.44,30.49,65.79,18.884,19.49,83.026,74.9,0.54,1.03,3,0.2028503562945368,0.0779097387173396,0.5078959712305207,25.099999999999994,1,427.65
500.0,22.0,4.98,1.94,30.35,47.77,28.84,86.62,17.984,20.58,81.13399999999999,73.84,0.65,1.68,1,0.2263636363636363,0.0881818181818181,0.5336583341976973,26.16,2,419.6
500.0,20.03,3.28,1.25,22.75,42.8,29.68,77.43,17.708,14.32,86.264,82.534,0.81,0.94,2,0.163754368447329,0.0624063904143784,0.4471087798176595,17.465999999999994,2,429.14
500.0,21.11,2.98,1.96,31.15,45.94,26.38,83.53,15.462,15.09,84.212,78.514,1.92,2.43,2,0.1411653244907626,0.0928469919469445,0.4939120188531029,21.486000000000004,2,462.1
500.0,17.28,1.11,0.05,1.26,27.11,33.19,50.53,17.084,17.97,83.086,76.732,1.42,1.72,4,0.0642361111111111,0.0028935185185185,0.5126376447766303,23.268,0,458.66
500.0,18.09,2.81,2.74,10.03,33.69,30.08,61.35,17.984,19.73,82.51,73.55799999999999,0.07,1.29,2,0.1553344389165284,0.1514648977335544,0.523147902635626,26.442000000000007,1,434.11
500.0,17.55,2.57,3.43,18.28,39.21,28.46,73.49,16.886000000000003,15.73,84.536,78.114,0.82,0.89,4,0.1464387464387464,0.1954415954415954,0.4822786362521462,21.886,2,436.61
500.0,16.77,1.08,0.53,21.8,46.95,30.66,78.71,17.542,16.41,84.47200000000001,77.792,1.82,2.3,2,0.0644007155635062,0.0316040548598688,0.4833294062205467,22.208,2,463.69
500.0,18.84,3.5,0.6,34.15,51.86,25.56,86.3,16.344,14.46,85.232,80.398,1.06,1.96,2,0.1857749469214437,0.0318471337579617,0.4694195559018309,19.602000000000004,2,451.98
500.0,18.19,2.77,2.42,27.83,45.2,26.55,77.73,20.432,17.9,85.31800000000001,77.67999999999999,0.48,1.83,3,0.1522814733369983,0.1330401319406267,0.4669727642700616,22.320000000000007,2,443.41
500.0,20.49,1.33,0.73,6.07,35.27,29.92,58.5,18.528,15.43,85.816,79.466,0.74,1.22,2,0.0649097120546608,0.0356271351878965,0.4543848283173332,20.53400000000001,1,474.22
500.0,20.48,0.67,0.88,19.22,42.39,30.34,73.43,18.024,15.22,85.46799999999999,81.792,0.74,2.0,2,0.03271484375,0.04296875,0.4578269762964745,18.208,2,453.18
500.0,18.68,2.9,0.85,21.41,45.22,27.34,72.82,17.804,16.56,85.05,78.92,0.8,2.43,4,0.1552462526766595,0.0455032119914346,0.4818996624374345,21.08,2,434.92
500.0,17.96,1.04,3.12,12.46,35.62,31.63,66.15,16.576,15.45,84.14200000000001,76.004,1.67,2.31,2,0.0579064587973273,0.1737193763919821,0.4824205333166802,23.995999999999995,1,448.13
500.0,19.22,3.14,2.61,16.57,36.91,29.09,66.17,19.51,18.99,83.72,77.164,1.39,3.11,4,0.1633714880332986,0.1357960457856399,0.4932467532467532,22.836,2,422.76
500.0,19.42,2.1,3.45,13.95,40.15,30.93,67.17,16.669999999999998,19.020000000000003,81.524,72.19,1.36,1.39,3,0.1081359423274974,0.1776519052523172,0.532922387223312,27.81,1,422.75
500.0,16.96,1.34,1.0,21.91,41.31,29.97,74.75,18.088,19.95,82.678,74.40599999999999,1.62,2.32,3,0.0790094339622641,0.0589622641509433,0.5244755244755245,25.59400000000001,2,448.17
500.0,21.19,4.18,0.9,23.05,42.58,28.76,77.69,16.634,20.04,80.676,72.53,0.35,1.73,4,0.1972628598395469,0.0424728645587541,0.5464361673119922,27.47,2,443.05
500.0,17.68,3.96,0.65,20.14,41.34,30.57,69.41,18.302,16.05,85.24600000000001,80.074,1.04,2.71,3,0.2239819004524887,0.0367647058823529,0.4672217047042384,19.926,2,460.92
500.0,19.66,1.8,2.03,16.04,39.8,29.47,70.75,16.880000000000003,8.5,91.006,86.99,0.68,0.91,3,0.091556459816887,0.1032553407934893,0.3349093774625689,13.010000000000003,2,449.69
500.0,16.81,0.79,3.46,31.69,48.38,28.11,81.65,19.248,16.880000000000003,85.086,77.80199999999999,1.08,2.47,3,0.0469958358120166,0.2058298631766805,0.4672276350752879,22.198000000000008,2,454.69
500.0,19.57,2.62,1.44,2.49,31.39,30.29,55.38,16.924,19.93,81.158,72.264,1.32,2.95,1,0.1338783852835973,0.0735820132856412,0.5407825473489988,27.736000000000004,0,454.88
500.0,21.05,1.13,2.78,24.39,43.14,29.46,77.87,16.253999999999998,15.59,84.072,77.846,1.03,1.55,1,0.0536817102137767,0.1320665083135391,0.4895741740987313,22.154,2,464.43
500.0,19.14,2.11,3.07,25.73,43.46,29.3,79.81,18.608,15.57,85.714,78.31,0.19,1.98,1,0.1102403343782654,0.1603970741901776,0.4555562057463866,21.69,2,454.1
500.0,17.81,3.86,1.76,28.24,44.94,28.16,80.77,18.124,15.98,85.47200000000001,80.816,1.77,2.14,1,0.2167321729365525,0.098820887142055,0.4685667370396434,19.184,2,412.96
500.0,19.75,1.03,3.29,13.02,35.13,30.86,71.38,18.384,16.71,84.958,78.822,0.7,2.15,3,0.0521518987341772,0.1665822784810126,0.4761497691913147,21.178,1,454.44
500.0,19.2,4.52,2.76,26.41,44.29,29.66,78.83,18.380000000000003,15.57,86.126,80.02000000000001,1.71,2.52,1,0.2354166666666666,0.14375,0.4586156111929307,19.97999999999999,2,416.31
500.0,21.26,2.04,2.87,11.2,34.8,30.73,64.27,18.544,17.71,84.106,76.826,1.28,1.45,4,0.0959548447789275,0.1349952963311382,0.4884978209301042,23.174000000000007,1,453.46
500.0,20.33,3.74,2.24,33.25,48.39,27.77,86.71,17.906,18.61,82.966,77.386,1.57,2.91,2,0.1839645843580915,0.1101819970486965,0.5096396100339577,22.614000000000004,2,435.58
500.0,21.45,3.13,1.4,22.11,38.79,28.34,78.52,17.75,16.71,84.5,78.08200000000001,0.02,0.22,3,0.1459207459207459,0.0652680652680652,0.4849100406268137,21.917999999999992,2,424.27
500.0,21.23,4.69,1.98,26.33,42.72,28.99,80.58,20.59,16.119999999999997,86.71000000000001,80.338,1.95,2.52,2,0.220913801224682,0.0932642487046632,0.4391174067011713,19.66200000000001,2,418.2
500.0,19.64,2.41,2.58,3.19,28.68,30.67,51.6,18.634,15.64,85.638,78.91600000000001,1.1,2.48,4,0.1227087576374745,0.1313645621181262,0.4563225768804341,21.08399999999999,0,416.92
500.0,18.39,0.75,1.17,31.07,51.74,27.07,82.0,17.392000000000003,13.34,87.214,82.084,1.99,2.34,4,0.0407830342577487,0.063621533442088,0.4340752310295457,17.915999999999997,2,448.1
500.0,18.08,3.82,1.58,5.0,32.48,31.86,58.2,17.808,16.240000000000002,84.426,78.936,0.47,1.13,4,0.211283185840708,0.0873893805309734,0.4769736842105263,21.063999999999997,0,420.46
500.0,18.51,4.62,1.27,28.77,47.1,27.65,81.58,18.484,15.52,86.64,79.23400000000001,0.73,2.22,3,0.2495948136142625,0.0686115613182063,0.4564168921303375,20.76599999999999,2,423.7
500.0,21.98,2.76,2.08,2.97,32.24,30.23,55.68,17.468,12.73,87.216,82.726,1.32,2.45,4,0.1255686988171064,0.094631483166515,0.4215510960990794,17.274,0,430.03
500.0,17.14,0.66,1.65,2.92,32.62,31.02,62.06,19.522,10.93,90.152,85.338,1.02,2.29,2,0.0385064177362893,0.0962660443407234,0.3589255221331932,14.662000000000006,0,478.56
500.0,19.36,1.2,0.64,14.85,37.05,29.51,66.32,18.068,14.41,86.486,82.17999999999999,0.49,2.43,1,0.0619834710743801,0.0330578512396694,0.4436849559701952,17.820000000000007,1,449.27
500.0,18.45,0.61,0.55,4.16,30.61,30.91,56.26,17.503999999999998,19.09,83.084,74.368,0.97,2.79,3,0.0330623306233062,0.029810298102981,0.5216702191616113,25.632000000000005,0,442.68
500.0,20.03,0.59,0.36,26.11,45.96,28.48,74.16,16.546,16.68,84.08000000000001,76.99600000000001,1.59,2.59,4,0.0294558162755866,0.0179730404393409,0.5020164931078072,23.00399999999999,2,455.3
500.0,17.46,3.75,2.99,30.4,46.07,28.18,82.4,18.08,18.52,82.90799999999999,75.558,1.34,3.07,4,0.2147766323024054,0.1712485681557846,0.5060109289617487,24.441999999999997,2,403.11
500.0,21.38,0.56,0.3,2.58,30.63,30.8,64.15,19.076,13.48,87.862,80.17999999999999,1.44,2.01,3,0.0261927034611786,0.0140318054256314,0.4140557808084532,19.820000000000007,0,449.65
500.0,18.28,3.16,0.94,24.35,44.64,30.72,74.61,17.034,11.73,87.758,85.614,1.54,1.62,4,0.1728665207877461,0.0514223194748358,0.4078014184397163,14.385999999999996,2,445.67
500.0,21.69,3.94,0.49,20.45,41.07,29.93,69.05,18.55,11.64,88.77,84.008,1.88,3.79,1,0.181650530198248,0.0225910557860765,0.3855581318317324,15.992000000000004,2,426.14
500.0,16.13,1.71,1.9,6.58,33.85,28.22,59.35,16.972,21.23,80.064,73.966,1.77,3.26,1,0.1060136391816491,0.1177929324240545,0.5557300664886655,26.03400000000001,1,442.04
500.0,17.63,0.58,3.2,20.43,37.45,29.32,75.1,19.524,16.72,85.668,81.78999999999999,1.86,2.71,1,0.0328984685195689,0.1815087918321044,0.4613177353492991,18.210000000000008,2,442.77
500.0,20.98,1.43,0.04,5.69,33.64,29.11,65.62,17.416,20.43,81.122,73.15799999999999,1.14,3.11,4,0.0681601525262154,0.0019065776930409,0.5398192675579981,26.842000000000013,1,486.2
500.0,21.49,2.38,1.34,32.65,49.07,27.45,85.27,17.482,17.98,83.17,75.916,0.59,1.36,3,0.1107491856677524,0.0623545835272219,0.5070216005865433,24.084000000000003,2,463.76
500.0,18.34,1.8,1.24,13.33,34.47,29.55,70.71,19.666,12.39,89.256,83.684,0.54,1.51,2,0.0981461286804798,0.0676117775354416,0.3865111055652608,16.316000000000003,1,454.9
500.0,21.62,3.8,0.75,14.52,37.22,29.49,68.84,17.564,14.01,86.21000000000001,80.89,1.11,2.99,2,0.1757631822386678,0.0346901017576318,0.4437195160575157,19.11,1,423.38
500.0,19.58,2.0,2.7,34.99,51.35,27.51,86.63,16.504,16.189999999999998,84.62,79.468,1.86,2.0,2,0.1021450459652706,0.1378958120531154,0.4951978956383433,20.532,2,451.79
500.0,18.61,1.61,2.87,26.91,44.87,26.71,75.12,17.288,12.27,87.916,84.15,1.23,3.21,2,0.0865126276195593,0.1542181622783449,0.4151160430340347,15.849999999999994,2,456.12
500.0,16.55,4.63,0.48,23.51,44.35,27.11,79.99,15.854000000000005,19.49,80.568,71.74199999999999,0.51,1.1,2,0.2797583081570997,0.0290030211480362,0.5514373019465821,28.25800000000001,2,425.47
500.0,20.39,4.13,2.31,3.97,31.07,32.65,58.92,16.714,17.18,83.24,76.44200000000001,1.48,2.88,3,0.2025502697400686,0.1132908288376655,0.5068743730453767,23.557999999999996,0,401.31
500.0,21.93,4.75,0.14,29.83,50.49,30.08,87.11,17.602,14.56,85.69200000000001,82.006,1.42,2.52,2,0.2165982672138623,0.0063839489284085,0.4527081649151172,17.994,2,421.87
500.0,21.83,4.75,1.66,30.68,45.9,27.66,87.08,18.08,19.53,82.2,73.2,1.62,3.24,1,0.2175904718277599,0.076042143838754,0.5192767880882745,26.8,2,407.89
500.0,16.72,0.85,2.44,7.45,34.6,31.31,56.43,17.78,13.93,86.562,79.964,1.22,1.39,3,0.0508373205741626,0.145933014354067,0.4392935982339955,20.036,1,439.84
500.0,20.74,1.93,2.19,13.73,38.7,29.49,67.96,19.268,17.259999999999998,84.944,78.72,1.0,2.6,1,0.0930568948891031,0.1055930568948891,0.4725142356548401,21.28,1,433.42
500.0,20.79,4.99,1.23,27.43,41.49,29.89,75.54,15.668,10.55,88.148,84.346,0.14,0.94,2,0.24001924001924,0.0591630591630591,0.4023953009382867,15.653999999999996,2,403.44
500.0,21.9,3.96,1.46,30.18,47.59,28.78,81.32,17.125999999999998,10.02,89.338,84.554,1.78,2.46,4,0.1808219178082191,0.0666666666666666,0.3691151550873057,15.445999999999998,2,419.02
500.0,17.72,1.83,0.82,34.3,46.97,25.5,85.6,18.582,16.49,84.74199999999999,77.692,1.16,2.03,3,0.1032731376975169,0.04627539503386,0.4701756386861313,22.308000000000007,2,450.99
500.0,21.7,4.04,0.31,22.17,42.16,28.71,71.65,18.04,24.71,78.304,68.248,0.07,1.0,3,0.1861751152073733,0.0142857142857142,0.5780116959064328,31.751999999999995,2,460.8
500.0,19.08,1.54,0.62,12.1,36.84,29.73,68.75,18.054,8.51,91.232,88.91600000000001,1.96,3.64,2,0.080712788259958,0.0324947589098532,0.320358379762084,11.083999999999987,1,475.11
500.0,21.81,4.48,3.25,23.36,42.29,28.19,73.58,18.758000000000003,11.17,89.848,86.36,0.06,0.14,2,0.2054103622191655,0.1490142136634571,0.3732290831328521,13.64,2,418.65
500.0,16.92,4.17,0.79,3.1,28.9,30.58,54.69,16.752000000000002,20.55,80.87,72.848,0.61,1.68,1,0.2464539007092198,0.0466903073286052,0.5509087984558468,27.152,0,418.61
500.0,21.26,1.7,0.45,7.22,32.81,28.0,61.19,16.044,16.97,83.196,77.65599999999999,1.04,2.58,4,0.0799623706491063,0.0211665098777046,0.5140243533046587,22.34400000000001,1,471.34
500.0,18.45,2.18,0.91,27.98,46.27,27.5,80.82,18.408,17.72,83.932,79.768,1.93,2.85,2,0.1181571815718157,0.0493224932249322,0.4904782993799823,20.232,2,434.47
500.0,16.46,4.33,1.73,30.58,49.58,27.32,80.31,16.413999999999998,17.77,82.462,76.202,0.1,1.17,3,0.2630619684082624,0.1051032806804374,0.5198338403931664,23.798,2,403.96
500.0,19.39,1.7,3.08,7.33,33.92,29.99,54.69,17.78,23.74,78.908,71.384,1.4,1.68,4,0.0876740587931923,0.1588447653429603,0.5717726396917149,28.616,1,429.14
500.0,21.02,3.64,2.38,21.64,40.81,26.64,77.03,18.702,12.510000000000002,89.354,84.584,1.95,2.98,2,0.1731684110371075,0.1132254995242626,0.4008073817762399,15.415999999999997,2,416.8
500.0,20.46,1.22,2.86,31.33,46.39,30.95,86.56,17.542,17.42,83.68199999999999,79.096,0.08,0.88,3,0.0596285434995112,0.1397849462365591,0.4982552485555746,20.904,2,432.21
500.0,21.89,3.34,0.91,3.75,33.49,28.17,55.94,17.57,17.71,83.226,77.40799999999999,0.88,1.03,1,0.152581087254454,0.0415714938328003,0.501984126984127,22.592000000000013,0,412.43
500.0,19.25,4.83,1.2,13.2,34.77,29.03,63.64,17.542,16.86,84.374,76.872,0.37,0.53,3,0.2509090909090909,0.0623376623376623,0.4900877855938608,23.128,1,412.25
500.0,20.25,0.8,2.04,4.19,31.16,31.49,61.94,18.632,15.52,85.534,78.064,1.39,2.21,2,0.0395061728395061,0.1007407407407407,0.4544389786835324,21.936000000000007,0,445.86
500.0,16.15,0.6,1.13,17.45,40.65,29.33,68.12,17.042,18.18,82.884,75.128,1.83,2.72,4,0.0371517027863777,0.069969040247678,0.5161546760547385,24.872,2,466.21
500.0,21.98,2.42,1.58,20.54,40.47,30.53,72.32,18.182,15.22,85.872,79.424,1.1,2.53,4,0.1101000909918107,0.0718835304822566,0.4556613376444524,20.575999999999997,2,439.41
500.0,17.64,4.78,0.53,12.71,34.92,30.66,72.17,20.042,21.18,82.5,73.94,1.87,3.15,1,0.2709750566893424,0.0300453514739229,0.5138033089127165,26.06,1,451.59
500.0,17.65,4.93,1.43,12.46,36.16,29.88,65.13,18.942,20.46,82.348,72.39,1.48,2.58,2,0.2793201133144476,0.0810198300283286,0.5192629815745393,27.61,1,434.38
500.0,18.21,4.39,1.66,5.35,31.0,29.81,58.35,17.554,21.66,80.09400000000001,72.03999999999999,1.46,1.56,2,0.2410763316858868,0.0911587040087863,0.5523537512113021,27.960000000000008,1,403.47
500.0,21.07,3.92,2.19,6.53,30.59,29.8,53.37,16.982,14.07,85.286,79.10799999999999,0.71,2.23,1,0.1860465116279069,0.1039392501186521,0.4531109107303877,20.89200000000001,1,408.34
500.0,16.75,3.59,1.51,34.38,51.72,27.32,83.22,16.944,16.240000000000002,84.22,76.958,0.68,0.87,3,0.2143283582089552,0.0901492537313432,0.4893924783027966,23.042,2,446.19
500.0,20.79,1.9,1.59,33.93,50.53,27.88,83.37,18.116,19.07,82.538,75.934,0.08,1.79,4,0.0913900913900914,0.0764790764790764,0.5128274081643629,24.066000000000003,2,464.38
500.0,17.75,3.63,3.01,23.4,42.15,28.76,78.32,19.134,13.75,87.602,80.326,0.35,0.38,2,0.2045070422535211,0.1695774647887324,0.4181364797469894,19.674000000000007,2,435.19
500.0,21.92,1.14,1.75,20.01,42.87,28.24,71.31,17.919999999999998,16.26,85.098,79.846,0.98,1.93,1,0.0520072992700729,0.0798357664233576,0.4757167934464599,20.154,2,438.64
