equipment_id,record_date,operating_hours,downtime_hours,utilization_percent,performance_score
2,2026-04-25,19.31,5.65,77.36,63.48
2,2026-04-26,14.25,1.94,88.0,86.22
2,2026-04-27,18.76,0.78,95.99,100.0
2,2026-04-28,16.67,4.74,77.86,68.1
2,2026-04-29,14.85,0.91,94.21,92.28
2,2026-04-30,19.51,2.89,87.09,86.62
2,2026-05-01,15.97,5.01,76.14,68.03
2,2026-05-02,16.18,3.75,81.2,76.62
2,2026-05-03,16.89,1.0,94.39,92.16
2,2026-05-04,15.48,3.48,81.64,76.55
2,2026-05-05,20.98,4.53,82.25,74.88
2,2026-05-06,19.54,5.17,79.07,71.98
2,2026-05-07,16.0,3.19,83.37,78.27
2,2026-05-08,15.44,3.62,81.0,74.37
2,2026-05-09,21.32,0.69,96.88,92.26
2,2026-05-10,21.4,5.84,78.55,70.03
2,2026-05-11,21.55,3.11,87.4,81.27
2,2026-05-12,16.55,5.06,76.59,66.56
2,2026-05-13,14.3,3.78,79.09,70.23
2,2026-05-14,14.62,4.33,77.15,67.56
2,2026-05-15,16.72,4.49,78.84,69.31
2,2026-05-16,18.32,4.85,79.07,68.05
2,2026-05-17,16.55,3.94,80.76,73.68
2,2026-05-18,15.86,0.63,96.16,97.56
2,2026-05-19,20.96,0.62,97.14,96.15
2,2026-05-20,21.51,4.89,81.47,74.88
2,2026-05-21,21.98,2.43,90.05,83.64
2,2026-05-22,17.84,3.95,81.87,78.19
2,2026-05-23,20.99,5.91,78.02,64.86
2,2026-05-24,17.37,4.56,79.22,74.47
2,2026-05-25,15.91,1.11,93.49,87.24
2,2026-05-26,16.37,1.78,90.17,83.84
2,2026-05-27,14.34,0.6,95.99,94.69
2,2026-05-28,17.07,4.24,80.11,72.34
2,2026-05-29,15.75,5.72,73.34,64.84
2,2026-05-30,21.56,3.07,87.53,80.75
2,2026-05-31,18.91,1.42,93.02,90.68
2,2026-06-01,18.86,3.32,85.03,79.87
2,2026-06-02,15.85,1.47,91.51,86.69
2,2026-06-03,20.24,2.43,89.3,82.78
2,2026-06-04,14.46,5.83,71.27,63.87
2,2026-06-05,19.57,1.35,93.56,89.16
2,2026-06-06,20.53,1.73,92.21,89.35
2,2026-06-07,18.74,3.69,83.55,71.62
2,2026-06-08,14.73,5.33,73.45,60.96
2,2026-06-09,21.11,5.76,78.57,65.9
2,2026-06-10,20.9,4.95,80.84,72.91
2,2026-06-11,14.7,2.75,84.25,84.79
2,2026-06-12,16.98,1.93,89.8,85.84
2,2026-06-13,14.65,1.71,89.54,91.5
2,2026-06-14,19.47,0.92,95.49,93.61
2,2026-06-15,17.84,3.76,82.6,78.65
2,2026-06-16,20.6,2.41,89.51,86.73
2,2026-06-17,16.14,5.33,75.16,70.04
2,2026-06-18,20.38,4.12,83.18,77.4
2,2026-06-19,19.58,4.24,82.2,75.24
2,2026-06-20,18.95,4.64,80.33,70.55
2,2026-06-21,16.68,4.59,78.42,69.69
2,2026-06-22,15.29,5.0,75.36,65.45
2,2026-06-23,14.05,2.08,87.11,86.79
2,2026-06-24,18.94,5.9,76.25,60.38
2,2026-06-25,19.07,3.47,84.61,79.91
2,2026-06-26,20.24,1.09,94.9,93.47
2,2026-06-27,21.7,2.38,90.12,90.09
2,2026-06-28,19.06,5.63,77.21,64.62
2,2026-06-29,16.41,4.39,78.87,70.67
3,2026-01-01,14.54,3.7,79.71,75.89
3,2026-01-02,14.37,5.29,73.07,57.92
3,2026-01-03,21.79,5.83,78.89,65.56
3,2026-01-04,20.07,0.64,96.93,96.79
3,2026-01-05,14.18,2.28,86.15,86.28
3,2026-01-06,19.47,2.95,86.83,80.73
3,2026-01-07,16.19,5.98,73.01,56.7
3,2026-01-08,15.31,4.87,75.86,59.52
3,2026-01-09,19.55,1.71,91.94,89.24
3,2026-01-10,19.24,2.0,90.57,84.87
3,2026-01-11,21.61,1.33,94.2,93.49
3,2026-01-12,17.36,4.01,81.23,72.9
3,2026-01-13,17.18,2.01,89.53,85.38
3,2026-01-14,21.15,1.76,92.3,89.5
3,2026-01-15,15.7,0.67,95.9,90.8
3,2026-01-16,20.91,3.1,87.08,85.21
3,2026-01-17,21.75,1.52,93.47,91.45
3,2026-01-18,20.17,5.15,79.67,70.75
3,2026-01-19,20.09,3.94,83.59,76.29
3,2026-01-20,20.37,3.15,86.61,82.44
3,2026-01-21,14.94,1.19,92.63,88.22
3,2026-01-22,15.6,3.2,82.97,81.96
3,2026-01-23,14.51,3.7,79.68,74.8
3,2026-01-24,16.48,3.0,84.59,76.62
3,2026-01-25,14.09,0.9,94.01,90.85
3,2026-01-26,18.8,2.1,89.93,78.45
3,2026-01-27,19.56,5.23,78.9,65.54
3,2026-01-28,15.94,5.93,72.89,60.9
3,2026-01-29,15.14,3.24,82.35,80.38
3,2026-01-30,18.48,0.55,97.09,98.61
3,2026-01-31,16.61,3.35,83.23,75.79
3,2026-02-01,14.27,0.93,93.87,89.96
3,2026-02-02,17.18,1.23,93.32,96.25
3,2026-02-03,20.4,1.6,92.73,91.45
3,2026-02-04,15.34,1.08,93.45,95.5
3,2026-02-05,14.25,5.65,71.61,63.09
3,2026-02-06,14.42,3.48,80.57,75.71
3,2026-02-07,19.71,4.91,80.06,71.42
3,2026-02-08,16.72,4.98,77.04,71.03
3,2026-02-09,17.62,4.04,81.35,73.86
3,2026-02-10,18.21,4.52,80.1,69.1
3,2026-02-11,20.97,1.71,92.48,87.62
3,2026-02-12,21.81,2.35,90.26,87.12
3,2026-02-13,19.27,3.24,85.61,77.4
3,2026-02-14,18.44,4.46,80.54,71.74
3,2026-02-15,15.6,4.24,78.62,70.5
3,2026-02-16,14.58,0.67,95.61,93.51
3,2026-02-17,20.95,4.5,82.32,68.31
3,2026-02-18,19.94,2.84,87.53,78.18
3,2026-02-19,21.9,0.72,96.81,90.98
3,2026-02-20,20.94,3.68,85.04,82.73
3,2026-02-21,17.89,5.3,77.14,65.15
3,2026-02-22,21.21,2.82,88.26,84.58
3,2026-02-23,21.3,1.66,92.78,84.73
3,2026-02-24,18.98,3.97,82.69,72.87
3,2026-02-25,19.73,5.5,78.2,68.39
3,2026-02-26,15.44,1.81,89.52,85.83
3,2026-02-27,15.98,5.29,75.13,68.07
3,2026-02-28,17.56,3.33,84.06,80.84
3,2026-03-01,15.31,2.65,85.24,74.72
3,2026-03-02,21.76,1.92,91.89,84.17
3,2026-03-03,20.19,1.22,94.3,95.34
3,2026-03-04,21.76,3.0,87.9,82.14
3,2026-03-05,16.7,5.06,76.75,62.78
3,2026-03-06,17.45,1.87,90.33,91.1
3,2026-03-07,15.34,1.42,91.52,91.22
3,2026-03-08,14.29,4.55,75.85,65.79
3,2026-03-09,20.75,4.93,80.8,77.17
3,2026-03-10,18.68,5.28,77.98,66.65
3,2026-03-11,16.16,0.81,95.2,92.99
3,2026-03-12,18.25,5.65,76.35,67.25
3,2026-03-13,16.53,3.29,83.4,76.58
3,2026-03-14,14.33,1.32,91.59,91.71
3,2026-03-15,17.64,3.34,84.1,78.46
3,2026-03-16,17.91,4.17,81.12,76.11
3,2026-03-17,15.61,4.2,78.79,67.26
3,2026-03-18,21.76,1.02,95.54,91.63
3,2026-03-19,20.95,1.47,93.42,96.22
3,2026-03-20,19.54,5.11,79.27,69.5
3,2026-03-21,17.98,3.9,82.18,75.48
3,2026-03-22,20.95,3.64,85.2,81.24
3,2026-03-23,15.73,4.12,79.22,74.54
3,2026-03-24,17.15,4.08,80.78,73.52
3,2026-03-25,22.0,0.77,96.64,92.85
3,2026-03-26,21.82,2.74,88.85,84.34
3,2026-03-27,18.54,4.56,80.25,72.39
3,2026-03-28,21.03,2.72,88.54,86.66
3,2026-03-29,20.46,4.69,81.35,68.28
3,2026-03-30,20.38,2.9,87.56,81.32
3,2026-03-31,18.36,0.53,97.19,96.5
3,2026-04-01,16.6,2.52,86.84,86.59
3,2026-04-02,17.11,2.97,85.22,76.74
3,2026-04-03,15.9,2.55,86.17,85.99
3,2026-04-04,18.96,3.05,86.14,83.07
3,2026-04-05,17.04,5.25,76.45,58.46
3,2026-04-06,14.21,2.38,85.67,87.79
3,2026-04-07,17.04,2.69,86.35,84.03
3,2026-04-08,18.86,4.71,80.03,77.94
3,2026-04-09,20.5,4.45,82.17,75.55
3,2026-04-10,15.95,5.6,74.02,63.66
3,2026-04-11,14.48,5.64,71.97,58.43
3,2026-04-12,17.89,1.91,90.34,85.68
3,2026-04-13,16.28,2.19,88.14,84.3
3,2026-04-14,16.49,3.86,81.04,77.51
3,2026-04-15,19.73,2.0,90.8,83.85
3,2026-04-16,15.45,4.25,78.44,69.27
3,2026-04-17,15.45,3.39,82.01,73.43
3,2026-04-18,18.54,1.91,90.65,87.79
3,2026-04-19,21.7,3.16,87.29,81.65
3,2026-04-20,14.35,3.98,78.27,74.4
3,2026-04-21,21.61,3.81,85.02,77.55
3,2026-04-22,15.82,1.67,90.47,87.26
3,2026-04-23,18.89,2.76,87.25,77.99
3,2026-04-24,20.24,2.01,90.96,84.86
3,2026-04-25,20.58,2.83,87.91,80.23
3,2026-04-26,18.99,2.98,86.42,81.29
3,2026-04-27,18.69,1.42,92.92,91.97
3,2026-04-28,15.73,1.03,93.88,93.06
3,2026-04-29,14.19,4.03,77.88,72.71
3,2026-04-30,15.86,2.65,85.68,87.01
3,2026-05-01,18.76,3.23,85.3,76.42
3,2026-05-02,17.43,4.45,79.67,75.69
3,2026-05-03,19.54,5.95,76.65,66.45
3,2026-05-04,16.19,0.94,94.53,97.54
3,2026-05-05,14.69,5.42,73.05,60.47
3,2026-05-06,15.81,2.45,86.57,78.62
3,2026-05-07,14.56,3.35,81.27,75.26
3,2026-05-08,21.04,4.08,83.76,70.93
3,2026-05-09,18.26,2.28,88.89,88.0
3,2026-05-10,21.95,4.14,84.13,72.22
3,2026-05-11,18.46,4.52,80.34,69.19
3,2026-05-12,18.5,5.77,76.23,64.53
3,2026-05-13,15.4,4.3,78.2,70.11
3,2026-05-14,14.77,2.98,83.23,73.03
3,2026-05-15,20.05,2.41,89.26,87.71
3,2026-05-16,21.42,1.79,92.28,90.53
3,2026-05-17,17.19,1.34,92.78,93.74
3,2026-05-18,18.17,3.93,82.22,74.78
3,2026-05-19,14.71,4.65,75.97,67.06
3,2026-05-20,20.26,4.4,82.16,72.91
3,2026-05-21,14.29,2.17,86.83,80.14
3,2026-05-22,14.7,5.65,72.23,56.93
3,2026-05-23,18.43,2.18,89.42,81.75
3,2026-05-24,18.8,3.34,84.93,71.8
3,2026-05-25,21.36,3.23,86.85,80.63
3,2026-05-26,17.04,5.33,76.18,65.23
3,2026-05-27,20.94,4.93,80.94,69.07
3,2026-05-28,14.65,2.72,84.36,81.9
3,2026-05-29,15.39,4.32,78.07,69.51
3,2026-05-30,19.13,5.02,79.2,69.12
3,2026-05-31,15.06,5.24,74.18,63.63
3,2026-06-01,18.85,4.71,80.02,73.06
3,2026-06-02,15.4,3.26,82.51,72.79
3,2026-06-03,16.94,0.87,95.09,92.42
3,2026-06-04,14.21,1.24,91.95,89.64
3,2026-06-05,21.73,2.88,88.3,84.13
3,2026-06-06,16.49,3.28,83.4,74.01
3,2026-06-07,19.13,1.69,91.89,88.08
3,2026-06-08,18.96,4.08,82.3,73.51
3,2026-06-09,14.47,5.97,70.78,63.31
3,2026-06-10,14.46,4.32,76.99,66.5
3,2026-06-11,19.54,0.84,95.87,93.27
3,2026-06-12,18.08,5.98,75.13,64.48
3,2026-06-13,16.45,3.93,80.71,76.42
3,2026-06-14,18.22,2.84,86.5,76.71
3,2026-06-15,16.94,2.78,85.91,79.68
3,2026-06-16,20.62,4.53,81.97,71.17
3,2026-06-17,14.15,1.93,88.01,76.37
3,2026-06-18,20.08,1.25,94.12,87.18
3,2026-06-19,14.1,1.83,88.53,85.43
3,2026-06-20,21.81,4.91,81.63,71.76
3,2026-06-21,14.88,3.51,80.89,75.61
3,2026-06-22,17.64,5.14,77.42,67.05
3,2026-06-23,15.2,2.29,86.93,79.56
3,2026-06-24,19.9,3.12,86.45,76.1
3,2026-06-25,17.68,4.82,78.58,64.11
3,2026-06-26,21.14,5.75,78.6,65.09
3,2026-06-27,19.51,2.91,87.03,84.34
3,2026-06-28,16.04,5.12,75.78,72.01
3,2026-06-29,19.27,5.42,78.04,65.38
4,2026-01-01,19.09,3.88,83.12,75.47
4,2026-01-02,15.2,4.56,76.94,65.57
4,2026-01-03,18.1,4.24,81.01,71.44
4,2026-01-04,14.57,0.57,96.26,95.68
4,2026-01-05,21.65,4.56,82.62,69.46
4,2026-01-06,16.8,4.76,77.92,65.48
4,2026-01-07,19.29,1.52,92.7,93.22
4,2026-01-08,16.12,0.62,96.32,97.25
4,2026-01-09,14.66,5.82,71.57,62.91
4,2026-01-10,19.0,2.6,87.96,80.49
4,2026-01-11,15.65,1.17,93.06,94.7
4,2026-01-12,19.15,3.42,84.86,79.7
4,2026-01-13,14.34,5.83,71.1,57.52
4,2026-01-14,21.84,3.81,85.14,80.31
4,2026-01-15,18.66,4.61,80.17,72.56
4,2026-01-16,15.02,2.36,86.42,84.92
4,2026-01-17,21.42,1.74,92.51,85.9
