production_date,mine_id,planned_production,actual_production,operating_hours,downtime_hours,blasting_delay_hours,rainfall_mm,soil_moisture,land_temperature,humidity
2026-04-04,1,500,403.11,17.46,3.75,2.99,28.0,47.2,27.15,79.15
2026-04-05,1,500,449.65,21.38,0.56,0.3,29.06,50.18,27.09,79.18
2026-04-06,1,500,445.67,18.28,3.16,0.94,7.28,29.39,32.04,57.82
2026-04-07,1,500,426.14,21.69,3.94,0.49,21.85,44.69,26.65,69.4
2026-04-08,1,500,442.04,16.13,1.71,1.9,30.4,49.7,27.93,81.35
2026-04-09,1,500,442.77,17.63,0.58,3.2,22.17,41.17,28.36,71.09
2026-04-10,1,500,486.2,20.98,1.43,0.04,4.12,27.42,31.14,64.73
2026-04-11,1,500,463.76,21.49,2.38,1.34,4.79,34.36,32.09,56.3
2026-04-12,1,500,454.9,18.34,1.8,1.24,18.16,39.11,29.38,67.04
2026-04-13,1,500,423.38,21.62,3.8,0.75,25.17,45.51,26.73,83.89
2026-04-14,1,500,451.79,19.58,2.0,2.7,1.09,29.92,29.37,55.97
2026-04-15,1,500,456.12,18.61,1.61,2.87,3.73,30.78,30.29,64.28
2026-04-16,1,500,425.47,16.55,4.63,0.48,27.98,44.01,29.13,74.89
2026-04-17,1,500,401.31,20.39,4.13,2.31,33.26,46.98,27.45,88.13
2026-04-18,1,500,421.87,21.93,4.75,0.14,24.23,42.84,29.21,72.23
2026-04-19,1,500,407.89,21.83,4.75,1.66,24.7,45.69,28.66,78.57
2026-04-20,1,500,439.84,16.72,0.85,2.44,30.17,46.68,28.87,77.94
2026-04-21,1,500,433.42,20.74,1.93,2.19,11.9,35.21,29.95,66.94
2026-04-22,1,500,403.44,20.79,4.99,1.23,31.01,45.46,28.48,85.05
2026-04-23,1,500,419.02,21.9,3.96,1.46,26.85,44.43,25.83,81.93
2026-04-24,1,500,450.99,17.72,1.83,0.82,14.75,35.84,30.32,67.37
2026-04-25,1,500,460.8,21.7,4.04,0.31,1.47,25.09,29.65,53.11
2026-04-26,1,500,475.11,19.08,1.54,0.62,14.62,42.12,28.87,71.66
2026-04-27,1,500,418.65,21.81,4.48,3.25,7.72,34.13,29.61,60.46
2026-04-28,1,500,418.61,16.92,4.17,0.79,34.82,49.89,26.34,88.73
2026-04-29,1,500,471.34,21.26,1.7,0.45,7.83,37.81,31.15,59.53
2026-04-30,1,500,434.47,18.45,2.18,0.91,31.11,49.31,28.97,80.44
2026-05-01,1,500,403.96,16.46,4.33,1.73,25.32,42.78,28.46,79.87
2026-05-02,1,500,429.14,19.39,1.7,3.08,16.82,41.34,29.66,74.11
2026-05-03,1,500,416.8,21.02,3.64,2.38,27.91,48.01,28.63,81.34
2026-05-04,1,500,432.21,20.46,1.22,2.86,21.65,40.78,29.32,73.38
2026-05-05,1,500,412.43,21.89,3.34,0.91,29.12,46.48,28.09,83.67
2026-05-06,1,500,412.25,19.25,4.83,1.2,22.19,45.41,28.99,75.77
2026-05-07,1,500,445.86,20.25,0.8,2.04,22.14,42.74,29.19,74.37
2026-05-08,1,500,466.21,16.15,0.6,1.13,12.11,34.91,29.92,67.0
2026-05-09,1,500,439.41,21.98,2.42,1.58,17.1,40.58,30.37,65.29
2026-05-10,1,500,451.59,17.64,4.78,0.53,5.73,33.02,31.41,63.52
2026-05-11,1,500,434.38,17.65,4.93,1.43,15.13,37.61,30.12,64.94
2026-05-12,1,500,403.47,18.21,4.39,1.66,31.29,46.92,27.2,83.39
2026-05-13,1,500,408.34,21.07,3.92,2.19,33.89,50.57,27.38,87.62
2026-05-14,1,500,446.19,16.75,3.59,1.51,4.59,33.48,31.03,56.04
2026-05-15,1,500,464.38,20.79,1.9,1.59,7.02,31.08,30.28,56.54
2026-05-16,1,500,435.19,17.75,3.63,3.01,0.41,27.92,30.27,62.78
2026-05-17,1,500,438.64,21.92,1.14,1.75,27.29,45.69,27.7,78.78
2026-05-18,1,500,465.64,18.1,0.65,0.28,21.64,43.11,30.62,71.84
2026-05-19,1,500,472.85,17.2,1.25,0.37,13.89,37.42,28.55,70.47
2026-05-20,1,500,435.63,20.81,2.03,2.85,22.28,46.1,29.13,76.23
2026-05-21,1,500,458.0,19.86,2.87,2.56,2.8,30.05,31.67,56.93
2026-05-22,1,500,455.48,18.99,3.0,2.52,2.86,27.79,30.18,59.43
2026-05-23,1,500,462.55,16.18,1.66,1.62,8.0,30.94,30.76,60.69
2026-05-24,1,500,405.75,18.23,4.94,0.14,30.39,49.62,28.83,76.76
2026-05-25,1,500,420.49,21.24,4.55,1.48,30.35,44.6,29.97,82.0
2026-05-26,1,500,436.67,19.79,3.8,0.46,9.69,35.9,30.21,65.32
2026-05-27,1,500,430.08,21.22,2.5,1.8,25.05,44.93,28.2,72.6
2026-05-28,1,500,440.56,17.55,3.46,1.14,12.57,33.86,30.06,67.44
2026-05-29,1,500,438.19,20.97,2.44,0.87,27.07,42.48,28.02,73.08
2026-05-30,1,500,418.31,18.85,4.3,2.82,21.6,40.36,29.36,76.98
2026-05-31,1,500,415.88,16.34,2.89,3.28,20.49,40.71,29.33,72.46
2026-06-01,1,500,490.91,19.04,0.69,0.52,1.38,28.63,29.83,55.67
2026-06-02,1,500,421.58,19.09,2.7,2.33,34.53,50.72,28.0,85.68
2026-06-03,1,500,439.9,18.66,4.41,0.62,4.89,29.3,31.16,60.23
2026-06-04,1,500,440.94,19.42,0.64,3.26,24.24,43.7,30.58,79.71
2026-06-05,1,500,455.87,19.91,0.98,2.3,24.13,41.53,29.26,73.45
2026-06-06,1,500,413.66,20.43,4.45,1.41,34.98,52.75,27.25,87.5
2026-06-07,1,500,446.18,18.61,4.18,0.42,11.45,37.53,30.43,67.47
2026-06-08,1,500,463.41,18.69,1.57,1.31,19.06,37.83,27.45,69.5
2026-06-09,1,500,456.46,18.78,2.21,3.02,7.95,33.51,29.5,65.43
2026-06-10,1,500,419.89,18.39,3.11,1.87,18.17,38.9,29.16,67.88
2026-06-11,1,500,443.73,21.56,0.77,3.27,21.28,43.19,29.45,73.39
2026-06-12,1,500,421.12,17.84,4.11,1.89,12.31,35.93,28.82,63.46
2026-06-13,1,500,442.01,16.73,1.32,2.38,10.9,38.11,30.68,63.0
2026-06-14,1,500,423.01,17.54,4.83,1.69,6.35,35.82,30.59,61.2
2026-06-15,1,500,400.64,19.61,4.19,3.09,28.21,45.18,28.24,81.8
2026-06-16,1,500,460.48,21.4,2.09,0.83,7.98,34.19,28.91,65.63
2026-06-17,1,500,414.87,16.57,3.31,1.58,27.32,47.36,27.71,85.05
2026-06-18,1,500,454.95,16.57,0.61,2.25,20.53,42.39,28.21,72.42
2026-06-19,1,500,407.75,18.98,4.95,0.48,21.25,38.74,29.14,78.5
2026-06-20,1,500,465.94,21.95,1.08,0.36,24.33,40.94,26.65,79.83
2026-06-21,1,500,441.23,18.13,0.81,1.82,25.35,41.23,29.03,74.51
2026-06-22,1,500,459.96,19.91,2.9,1.14,2.37,28.29,31.46,60.22
2026-06-23,1,500,442.71,16.36,3.03,3.35,11.66,36.97,31.78,64.71
2026-06-24,1,500,444.53,18.7,3.9,1.22,6.14,30.01,31.02,57.78
2026-06-25,1,500,432.41,21.05,2.84,2.18,23.27,42.06,27.27,76.16
2026-06-26,1,500,485.8,20.25,0.66,1.06,3.12,28.97,31.05,59.32
2026-06-27,1,500,459.23,17.83,2.29,1.57,9.21,32.58,29.84,63.55
2026-06-28,1,500,434.32,21.11,1.44,3.26,21.02,43.34,28.93,74.67
2026-06-29,1,500,479.98,17.83,0.86,1.41,4.07,29.77,31.76,60.37
