mine_id,blast_date,planned_delay_hours,actual_delay_hours,blast_count,status
1,2026-02-20,0.85,2.49,1,Delayed
1,2026-02-21,0.61,0.94,3,On Time
1,2026-02-22,0.83,1.28,3,Delayed
1,2026-02-23,0.54,1.03,3,Delayed
1,2026-02-24,0.65,1.68,1,Delayed
1,2026-02-25,0.81,0.94,2,On Time
1,2026-02-26,1.92,2.43,2,Delayed
1,2026-02-27,1.42,1.72,4,Delayed
1,2026-02-28,0.07,1.29,2,Delayed
1,2026-03-01,0.82,0.89,4,On Time
1,2026-03-02,1.82,2.3,2,Delayed
1,2026-03-03,1.06,1.96,2,Delayed
1,2026-03-04,0.48,1.83,3,Delayed
1,2026-03-05,0.74,1.22,2,Delayed
1,2026-03-06,0.74,2.0,2,Delayed
1,2026-03-07,0.8,2.43,4,Delayed
1,2026-03-08,1.67,2.31,2,Delayed
1,2026-03-09,1.39,3.11,4,Highly Delayed
1,2026-03-10,1.36,1.39,3,Delayed
1,2026-03-11,1.62,2.32,3,Delayed
1,2026-03-12,0.35,1.73,4,Delayed
1,2026-03-13,1.04,2.71,3,Highly Delayed
1,2026-03-14,0.68,0.91,3,On Time
1,2026-03-15,1.08,2.47,3,Delayed
1,2026-03-16,1.32,2.95,1,Highly Delayed
1,2026-03-17,1.03,1.55,1,Delayed
1,2026-03-18,0.19,1.98,1,Delayed
1,2026-03-19,1.77,2.14,1,Delayed
1,2026-03-20,0.7,2.15,3,Delayed
1,2026-03-21,1.71,2.52,1,Highly Delayed
1,2026-03-22,1.28,1.45,4,Delayed
1,2026-03-23,1.57,2.91,2,Highly Delayed
1,2026-03-24,0.02,0.22,3,On Time
1,2026-03-25,1.95,2.52,2,Highly Delayed
1,2026-03-26,1.1,2.48,4,Delayed
1,2026-03-27,1.99,2.34,4,Delayed
1,2026-03-28,0.47,1.13,4,Delayed
1,2026-03-29,0.73,2.22,3,Delayed
1,2026-03-30,1.32,2.45,4,Delayed
1,2026-03-31,1.02,2.29,2,Delayed
1,2026-04-01,0.49,2.43,1,Delayed
1,2026-04-02,0.97,2.79,3,Highly Delayed
1,2026-04-03,1.59,2.59,4,Highly Delayed
1,2026-04-04,1.34,3.07,4,Highly Delayed
1,2026-04-05,1.44,2.01,3,Delayed
1,2026-04-06,1.54,1.62,4,Delayed
1,2026-04-07,1.88,3.79,1,Highly Delayed
1,2026-04-08,1.77,3.26,1,Highly Delayed
1,2026-04-09,1.86,2.71,1,Highly Delayed
1,2026-04-10,1.14,3.11,4,Highly Delayed
1,2026-04-11,0.59,1.36,3,Delayed
1,2026-04-12,0.54,1.51,2,Delayed
1,2026-04-13,1.11,2.99,2,Highly Delayed
1,2026-04-14,1.86,2.0,2,Delayed
1,2026-04-15,1.23,3.21,2,Highly Delayed
1,2026-04-16,0.51,1.1,2,Delayed
1,2026-04-17,1.48,2.88,3,Highly Delayed
1,2026-04-18,1.42,2.52,2,Highly Delayed
1,2026-04-19,1.62,3.24,1,Highly Delayed
1,2026-04-20,1.22,1.39,3,Delayed
1,2026-04-21,1.0,2.6,1,Highly Delayed
1,2026-04-22,0.14,0.94,2,On Time
1,2026-04-23,1.78,2.46,4,Delayed
1,2026-04-24,1.16,2.03,3,Delayed
1,2026-04-25,0.07,1.0,3,Delayed
1,2026-04-26,1.96,3.64,2,Highly Delayed
1,2026-04-27,0.06,0.14,2,On Time
1,2026-04-28,0.61,1.68,1,Delayed
1,2026-04-29,1.04,2.58,4,Highly Delayed
1,2026-04-30,1.93,2.85,2,Highly Delayed
1,2026-05-01,0.1,1.17,3,Delayed
1,2026-05-02,1.4,1.68,4,Delayed
1,2026-05-03,1.95,2.98,2,Highly Delayed
1,2026-05-04,0.08,0.88,3,On Time
1,2026-05-05,0.88,1.03,1,Delayed
1,2026-05-06,0.37,0.53,3,On Time
1,2026-05-07,1.39,2.21,2,Delayed
1,2026-05-08,1.83,2.72,4,Highly Delayed
1,2026-05-09,1.1,2.53,4,Highly Delayed
1,2026-05-10,1.87,3.15,1,Highly Delayed
1,2026-05-11,1.48,2.58,2,Highly Delayed
1,2026-05-12,1.46,1.56,2,Delayed
1,2026-05-13,0.71,2.23,1,Delayed
1,2026-05-14,0.68,0.87,3,On Time
1,2026-05-15,0.08,1.79,4,Delayed
1,2026-05-16,0.35,0.38,2,On Time
1,2026-05-17,0.98,1.93,1,Delayed
1,2026-05-18,0.93,2.23,2,Delayed
1,2026-05-19,1.23,2.5,2,Highly Delayed
1,2026-05-20,0.52,0.55,3,On Time
1,2026-05-21,1.01,2.72,1,Highly Delayed
1,2026-05-22,1.37,2.6,4,Highly Delayed
1,2026-05-23,1.28,1.34,4,Delayed
1,2026-05-24,1.27,2.87,4,Highly Delayed
1,2026-05-25,0.78,2.06,1,Delayed
1,2026-05-26,1.62,3.26,4,Highly Delayed
1,2026-05-27,0.77,2.69,2,Highly Delayed
1,2026-05-28,0.41,0.96,4,On Time
1,2026-05-29,0.2,0.24,3,On Time
1,2026-05-30,1.24,1.91,2,Delayed
1,2026-05-31,0.64,2.33,2,Delayed
1,2026-06-01,0.68,1.2,3,Delayed
1,2026-06-02,0.24,1.63,1,Delayed
1,2026-06-03,1.87,1.95,1,Delayed
1,2026-06-04,1.61,2.17,2,Delayed
1,2026-06-05,0.85,1.98,3,Delayed
1,2026-06-06,1.98,2.81,2,Highly Delayed
1,2026-06-07,0.5,1.66,3,Delayed
1,2026-06-08,1.86,3.58,1,Highly Delayed
1,2026-06-09,1.36,2.84,3,Highly Delayed
1,2026-06-10,0.21,2.01,2,Delayed
1,2026-06-11,0.99,1.77,1,Delayed
1,2026-06-12,1.79,2.57,4,Highly Delayed
1,2026-06-13,1.92,3.61,1,Highly Delayed
1,2026-06-14,0.64,2.54,4,Highly Delayed
1,2026-06-15,0.97,1.95,4,Delayed
1,2026-06-16,0.9,1.48,1,Delayed
1,2026-06-17,1.11,1.53,1,Delayed
1,2026-06-18,1.58,3.16,1,Highly Delayed
1,2026-06-19,1.86,3.81,2,Highly Delayed
1,2026-06-20,1.1,1.98,3,Delayed
1,2026-06-21,1.09,2.5,3,Highly Delayed
1,2026-06-22,0.29,1.81,4,Delayed
1,2026-06-23,1.73,3.41,2,Highly Delayed
1,2026-06-24,1.4,1.55,2,Delayed
1,2026-06-25,1.78,2.08,1,Delayed
1,2026-06-26,0.17,2.14,4,Delayed
1,2026-06-27,1.73,3.49,1,Highly Delayed
1,2026-06-28,1.89,3.87,4,Highly Delayed
1,2026-06-29,0.7,2.12,3,Delayed
